portid,rank,portname,country,region,lon,lat,year,total_area_km2,area_change_from_2017_km2,cumulative_seaward_gain_km2,cumulative_seaward_loss_km2,cumulative_seaward_net_change_km2,cumulative_landward_gain_km2,cumulative_landward_loss_km2,cumulative_landward_net_change_km2,annual_gain_km2,annual_loss_km2,annual_net_change_km2,annual_seaward_net_change_km2,annual_landward_net_change_km2,imputed_from_previous_year,original_mask_year
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2017,38.727917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,2017
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2018,38.603637,-0.124280,0.464450,0.000000,0.464450,0.180299,0.769029,-0.588730,0.644749,0.769029,-0.124280,0.464450,-0.588730,False,2018
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2019,41.447690,2.719773,2.190174,0.000000,2.190174,2.078484,1.548885,0.529598,3.623909,0.779856,2.844052,1.725724,1.118328,False,2019
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2020,42.688117,3.960200,3.045196,0.000000,3.045196,3.039330,2.124327,0.915003,1.815968,0.575541,1.240427,0.855022,0.385405,False,2020
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2021,43.214098,4.486181,3.149934,0.000000,3.149934,3.962637,2.626390,1.336247,1.090198,0.564216,0.525982,0.104737,0.421244,False,2021
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2022,44.445519,5.717602,3.963472,0.000000,3.963472,4.535992,2.781862,1.754130,1.391063,0.159642,1.231421,0.813538,0.417882,False,2022
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2023,44.612017,5.884100,4.185377,0.000000,4.185377,4.829763,3.131040,1.698723,0.670160,0.503662,0.166498,0.221905,-0.055406,False,2023
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2024,46.549942,7.822025,5.368655,0.000000,5.368655,5.583218,3.129848,2.453369,1.943683,0.005758,1.937925,1.183279,0.754646,False,2024
port1201,1,Singapore,Singapore,Southeast Asia,103.707482,1.271989,2025,46.620035,7.892118,5.368655,0.000000,5.368655,5.651822,3.128359,2.523463,0.070093,0.000000,0.070093,0.000000,0.070093,False,2025
port824,2,Ningbo,China,China,121.881841,29.920769,2017,38.430784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,2017
port824,2,Ningbo,China,China,121.881841,29.920769,2018,39.185490,0.754707,0.149534,0.000000,0.149534,0.790387,0.185214,0.605173,0.939921,0.185214,0.754707,0.149534,0.605173,False,2018
port824,2,Ningbo,China,China,121.881841,29.920769,2019,41.274772,2.843988,0.366408,0.001048,0.365360,2.932208,0.453581,2.478627,2.358695,0.269414,2.089281,0.215827,1.873454,False,2019
port824,2,Ningbo,China,China,121.881841,29.920769,2020,43.465193,5.034409,0.666772,0.015021,0.651751,5.168784,0.786126,4.382658,2.538590,0.348169,2.190421,0.286390,1.904031,False,2020
port824,2,Ningbo,China,China,121.881841,29.920769,2021,45.345766,6.914982,0.975132,0.015021,0.960112,7.266578,1.311707,5.954871,2.481130,0.600556,1.880573,0.308361,1.572212,False,2021
port824,2,Ningbo,China,China,121.881841,29.920769,2022,46.316511,7.885727,1.281417,0.015021,1.266396,7.992706,1.373374,6.619331,1.043203,0.072458,0.970745,0.306285,0.664460,False,2022
port824,2,Ningbo,China,China,121.881841,29.920769,2023,47.742301,9.311518,2.016462,0.015021,2.001442,8.700741,1.390665,7.310076,1.443231,0.017441,1.425790,0.735046,0.690745,False,2023
port824,2,Ningbo,China,China,121.881841,29.920769,2024,49.391209,10.960425,2.062290,0.015021,2.047269,10.303447,1.390291,8.913156,1.648908,0.000000,1.648908,0.045827,1.603080,False,2024
port824,2,Ningbo,China,China,121.881841,29.920769,2025,49.869077,11.438293,2.065065,0.015021,2.050045,10.778539,1.390291,9.388248,0.477868,0.000000,0.477868,0.002776,0.475092,False,2025
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2017,54.599862,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,2017
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2018,56.551790,1.951929,0.021570,0.000000,0.021570,2.364214,0.433856,1.930359,2.385784,0.433856,1.951929,0.021570,1.930359,False,2018
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2019,59.893021,5.293159,0.026443,0.000000,0.026443,5.844922,0.578206,5.266716,3.485581,0.144350,3.341231,0.004874,3.336357,False,2019
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2020,60.134124,5.534262,0.031897,0.000000,0.031897,6.315422,0.813056,5.502365,0.565013,0.323910,0.241103,0.005454,0.235649,False,2020
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2021,61.325309,6.725447,0.031897,0.000000,0.031897,7.972557,1.279008,6.693550,2.638124,1.446939,1.191185,0.000000,1.191185,False,2021
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2022,65.862645,11.262783,0.126642,0.000000,0.126642,12.461319,1.325178,11.136141,4.617755,0.080419,4.537336,0.094745,4.442592,False,2022
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2023,69.585773,14.985911,0.168524,0.000000,0.168524,16.712557,1.895169,14.817388,4.501688,0.778559,3.723128,0.041882,3.681246,False,2023
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2024,72.033590,17.433728,0.215841,0.000000,0.215841,19.844802,2.626915,17.217887,3.342508,0.894691,2.447817,0.047317,2.400499,False,2024
port1188,3,Shanghai (Pudong),China,China,121.644197,31.191795,2025,73.002227,18.402366,0.222730,0.000000,0.222730,20.806116,2.626480,18.179636,0.968638,0.000000,0.968638,0.006889,0.961749,False,2025
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2017,11.154237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,2017
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2018,11.272742,0.118505,0.000000,0.000000,0.000000,0.127516,0.009011,0.118505,0.127516,0.009011,0.118505,0.000000,0.118505,False,2018
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2019,11.185301,0.031063,0.037699,0.000000,0.037699,0.389242,0.395878,-0.006636,0.299425,0.386866,-0.087442,0.037699,-0.125141,False,2019
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2020,10.952335,-0.201902,0.037699,0.000000,0.037699,0.386007,0.625608,-0.239601,0.000000,0.232966,-0.232966,0.000000,-0.232966,False,2020
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2021,10.547946,-0.606291,0.037699,0.000000,0.037699,0.248015,0.892006,-0.643991,0.008484,0.412873,-0.404389,0.000000,-0.404389,False,2021
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2022,9.932810,-1.221428,0.037699,0.000000,0.037699,0.154643,1.413770,-1.259127,0.006910,0.622046,-0.615136,0.000000,-0.615136,False,2022
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2023,9.932810,-1.221428,0.037699,0.000000,0.037699,0.154643,1.413770,-1.259127,0.000000,0.000000,0.000000,0.000000,0.000000,False,2023
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2024,11.121142,-0.033096,0.049597,0.000000,0.049597,0.722417,0.805109,-0.082693,1.188332,0.000000,1.188332,0.011898,1.176434,False,2024
port955,4,Port Hedland,Australia,Oceania,118.564342,-20.330660,2025,11.588916,0.434678,0.169050,0.000000,0.169050,0.831883,0.566255,0.265629,0.467774,0.000000,0.467774,0.119453,0.348321,False,2025
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2017,59.431712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,2017
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2018,58.337701,-1.094011,0.123230,0.000000,0.123230,0.316985,1.534227,-1.217242,0.440215,1.534227,-1.094011,0.123230,-1.217242,False,2018
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2019,57.682570,-1.749142,0.181495,0.000000,0.181495,1.033578,2.964215,-1.930636,0.775522,1.430652,-0.655130,0.058264,-0.713395,False,2019
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2020,56.865647,-2.566065,0.249169,0.000000,0.249169,1.434781,4.250015,-2.815234,0.471112,1.288035,-0.816923,0.067674,-0.884597,False,2020
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2021,55.216091,-4.215621,0.343822,0.000000,0.343822,1.702440,6.261883,-4.559443,0.376296,2.025852,-1.649556,0.094653,-1.744209,False,2021
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2022,55.455217,-3.976495,0.518515,0.000000,0.518515,2.151724,6.646734,-4.495010,0.625124,0.385998,0.239126,0.174693,0.064433,False,2022
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2023,55.000284,-4.431428,0.533486,0.000000,0.533486,2.310063,7.274977,-4.964914,0.271523,0.726456,-0.454933,0.014971,-0.469904,False,2023
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2024,55.411982,-4.019730,0.576081,0.000000,0.576081,2.679950,7.275761,-4.595811,0.412965,0.001267,0.411698,0.042595,0.369103,False,2024
port1297,5,Tianjin Xin Gang,China,China,117.733615,38.939726,2025,56.355552,-3.076160,0.749392,0.000000,0.749392,3.416761,7.242313,-3.825552,0.943570,0.000000,0.943570,0.173311,0.770259,False,2025
port1069,6,Qingdao,China,China,120.222618,36.026779,2017,33.136201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,2017
port1069,6,Qingdao,China,China,120.222618,36.026779,2018,33.489969,0.353767,0.168802,0.000000,0.168802,0.349169,0.164204,0.184965,0.517972,0.164204,0.353767,0.168802,0.184965,False,2018
port1069,6,Qingdao,China,China,120.222618,36.026779,2019,33.221409,0.085208,0.168933,0.000000,0.168933,0.477359,0.561084,-0.083725,0.133494,0.402054,-0.268560,0.000131,-0.268690,False,2019
port1069,6,Qingdao,China,China,120.222618,36.026779,2020,31.995127,-1.141074,0.122606,0.000000,0.122606,0.565454,1.829134,-1.263680,0.189070,1.415351,-1.226282,-0.046327,-1.179955,False,2020
port1069,6,Qingdao,China,China,120.222618,36.026779,2021,32.306698,-0.829503,0.007117,0.000000,0.007117,1.059355,1.895975,-0.836621,0.498609,0.187038,0.311571,-0.115488,0.427059,False,2021
port1069,6,Qingdao,China,China,120.222618,36.026779,2022,33.041514,-0.094687,0.182026,0.000000,0.182026,1.626626,1.903340,-0.276714,0.750130,0.015315,0.734816,0.174909,0.559907,False,2022
port1069,6,Qingdao,China,China,120.222618,36.026779,2023,33.041391,-0.094810,0.203550,0.000000,0.203550,1.631222,1.929583,-0.298361,0.130170,0.130293,-0.000123,0.021524,-0.021647,False,2023
port1069,6,Qingdao,China,China,120.222618,36.026779,2024,33.220986,0.084785,0.207598,0.000000,0.207598,1.805790,1.928603,-0.122814,0.189282,0.009686,0.179595,0.004048,0.175547,False,2024
port1069,6,Qingdao,China,China,120.222618,36.026779,2025,33.439391,0.303190,0.216808,0.000000,0.216808,2.014462,1.928080,0.086382,0.218405,0.000000,0.218405,0.009209,0.209196,False,2025
port1114,7,Rotterdam,The Netherlands,Europe,4.215145,51.922281,2017,57.228357,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,2017
port1114,7,Rotterdam,The Netherlands,Europe,4.215145,51.922281,2018,57.144271,-0.084086,0.006743,0.000000,0.006743,0.577052,0.667881,-0.090829,0.583795,0.667881,-0.084086,0.006743,-0.090829,False,2018
port1114,7,Rotterdam,The Netherlands,Europe,4.215145,51.922281,2019,57.030692,-0.197665,0.006134,0.000000,0.006134,0.754552,0.958350,-0.203799,0.178185,0.291763,-0.113579,-0.000609,-0.112970,False,2019
port1114,7,Rotterdam,The Netherlands,Europe,4.215145,51.922281,2020,57.639631,0.411274,0.006668,0.000000,0.006668,1.404393,0.999787,0.404606,0.659118,0.050179,0.608939,0.000534,0.608405,False,2020
port1114,7,Rotterdam,The Netherlands,Europe,4.215145,51.922281,2021,58.079936,0.851579,0.010025,0.000000,0.010025,1.834992,0.993438,0.841555,0.705133,0.264828,0.440305,0.003356,0.436948,False,2021
port1114,7,Rotterdam,The Netherlands,Europe,4.215145,51.922281,2022,59.412827,2.184471,0.127436,0.000000,0.127436,2.990044,0.933010,2.057034,1.374101,0.041210,1.332891,0.117412,1.215480,False,2022
port1114,7,Rotterdam,The Netherlands,Europe,4.215145,51.922281,2023,60.112173,2.883816,0.132582,0.000000,0.132582,3.696864,0.945630,2.751234,0.738237,0.038892,0.699346,0.005146,0.694200,False,2023
