region,ports,area_2017_km2,area_2025_km2,net_change_km2,seaward_net_km2,landward_net_km2,landward_share_pct
China,30,696.096633,863.545817,167.449183,38.680624,128.768560,76.900082
East Asia excluding China,13,287.441916,309.373769,21.931853,4.830398,17.101455,77.975423
Southeast Asia,5,76.068881,88.886104,12.817223,6.455541,6.361682,49.633853
South Asia,4,69.260329,79.862369,10.602040,1.232557,9.369483,88.374341
Middle East and North Africa,10,150.944347,154.702465,3.758118,1.438449,2.319670,61.724232
Europe,13,219.277193,233.329329,14.052136,1.727100,12.325036,87.709340
Americas,16,384.818297,404.448359,19.630062,3.876667,15.753395,80.251377
Sub-Saharan Africa,3,20.602681,21.406584,0.803903,0.007877,0.796026,99.020095
Oceania,6,49.903414,49.768778,-0.134636,0.379581,-0.514217,
Global,100,1954.413692,2205.323575,250.909883,58.628794,192.281089,76.633525
